Title,Product categories,Content,Sku,Additional Features Filter,Commutation for 3 phase motors,Supply Voltage DC 1,DC Supply Voltage Range,AC Supply Voltage Range,Status,Family,Form Factor,Product Series,Current Continuous (A),Current Peak (A),Network Commutation,Functional Safety,Size,Weight,Control_Command,Primary Feedback,Operating Mode,Motor Type,Drive Intelligence,Auxiliary Feedback,Network Communication,Network Configuration Service Channel,Environment,Separate Logic Supply,Isolation,Primary I/O Logic Level,Rated Power Continuous,Rated Power Peak,AC Supply Voltage,AC Input Phases Note,Built-in Shunt Resistor,Built-in Shunt Regulator,Additional Features,Digital Inputs 5v,Digital Outputs 5v,Digital Inputs 24v,Digital Outputs 24v,General Purpose IO,Aninputs,Anoutputs,Inductance Line to Line,Output Voltage DC,Clamping Voltage,AC Input phases,Rated Dissipation Capability,device_description,DC Supply Voltage (VDC)
FE060-5-EM,Servo Drives,<br>The FE060-5-EM FlexPro® pcb mount servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes EtherCAT® communication and is commissioned via a USB interface.,FE060-5-EM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FEE,5,10,EtherCAT,Safe Torque Off (STO),38.1 x 25.4 x 16.0,22.7,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Halls|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Standard,Universal,,5V TTL,0.3,0.5,,,,,,4,3,,,,1,,,,,,,DescFile-004|,10|12|24|36|48
AZBH10A4,Servo Drives,<br>The AZBH10A4 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBH10A4,,Trapezoidal,10|12|24|36,Oct-36,,Active,AxCent,PCB Mount,AZ_10V_Brushless,5,10,None,,43.2 x 38.1 x 9.4,9,±10 V Analog,Halls,Hall Velocity,Three Phase (Brushless),None,,None,,Standard,,,5V TTL,0.2,0.3,,,,,,,,,,,,,,,,,,,10|12|24|36
DZXCANTE-008L080,Servo Drives,<br>The DZXCANTE-008L080 DigiFlex® Performance™ extended environment pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems in harsh temperatures or rugged environments. This servo motor drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DZXCANTE-008L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZXC,4,8,CANopen,,63.5 x 50.8 x 22.9,105,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Extended,5,,5V TTL,0.3,0.6,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
FXM060-5-EM,Servo Drives,"<br>The micro-sized FXM060-5-EM FlexPro® Extended Environment servo drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with EtherCAT® communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FXE060-5-EM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FXM060-5-EM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FXME,5,10,EtherCAT,Safe Torque Off (STO),50.8 x 25.4 x 26.0,36.9,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Halls|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Extended,Universal,,5V TTL,0.3,0.5,,,,,,4,3,,,,1,,,,,,,DescFile-004|,10|12|24|36|48
AZBDC6A8,Servo Drives,<br>The AZBDC6A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBDC6A8,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,PCB Mount,AZ_PWM_Brushless,3,6,None,,63.5 x 50.8 x 16.8,84.9,PWM and Direction,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.2,0.5,,,,,,,,,,,,,,,,,,,24|36|48|60|72
DPRALTE-020B080,Servo Drives,<br>The DPRALTE-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes RS485 or Modbus RTU communication and is commissioned with DriveWare® via an RS-232 interface.,DPRALTE-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,Panel Mount,DPR_Enc,10,20,Modbus RTU|RS-485/232,,132.5 x 89.5 x 35.9,486,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,Modbus RTU|RS-485/232,RS-232,Standard,Universal,,5V TTL,0.8,1.5,,,,,,6,4,,,,3,2,,,,,,,24|36|48|60|72
AZBE6A8,Servo Drives,<br>The AZBE6A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBE6A8,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,PCB Mount,AZ_10V_Brushless,3,6,None,,63.5 x 50.8 x 16.8,86,±10 V Analog,Halls|Incremental Encoder|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.2,0.5,,,,,,,,,,,,,,,,,,,24|36|48|60|72
FE060-1-CM,Servo Drives,<br>The FE060-1-CM FlexPro® pcb mount servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen communication and is commissioned via a USB interface.,FE060-1-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FEC,1,2,CANopen,Safe Torque Off (STO),38.1 x 25.4 x 11.5,19.8,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.05,0.1,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
FM060-1-CM,Servo Drives,"<br>The micro-sized FM060-1-CM FlexPro® drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with CANopen communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FE060-1-CM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FM060-1-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FMC,1,2,CANopen,Safe Torque Off (STO),50.8 x 25.4 x 22.0,34,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.05,0.1,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
DZXRALTE-008L080,Servo Drives,<br>The DZXRALTE-008L080 DigiFlex® Performance™ extended environment pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems in harsh temperatures or rugged environments. This servo motor drive utilizes RS485 or Modbus RTU communication and is commissioned with DriveWare® via an RS-232 interface.,DZXRALTE-008L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZXR,4,8,Modbus RTU|RS-485/232,,63.5 x 50.8 x 22.9,105,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,Modbus RTU|RS-485/232,RS-232,Extended,5,,5V TTL,0.3,0.6,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
