Title,Product categories,Content,Sku,Additional Features Filter,Commutation for 3 phase motors,Supply Voltage DC 1,DC Supply Voltage Range,AC Supply Voltage Range,Status,Family,Form Factor,Product Series,Current Continuous (A),Current Peak (A),Network Commutation,Functional Safety,Size,Weight,Control_Command,Primary Feedback,Operating Mode,Motor Type,Drive Intelligence,Auxiliary Feedback,Network Communication,Network Configuration Service Channel,Environment,Separate Logic Supply,Isolation,Primary I/O Logic Level,Rated Power Continuous,Rated Power Peak,AC Supply Voltage,AC Input Phases Note,Built-in Shunt Resistor,Built-in Shunt Regulator,Additional Features,Digital Inputs 5v,Digital Outputs 5v,Digital Inputs 24v,Digital Outputs 24v,General Purpose IO,Aninputs,Anoutputs,Inductance Line to Line,Output Voltage DC,Clamping Voltage,AC Input phases,Rated Dissipation Capability,device_description,DC Supply Voltage (VDC)
AZXB8A8,Servo Drives,"<br>The AZXB8A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXB8A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_10V,4,8,None,,63.5 x 50.8 x 22.9,94.5,±10 V Analog,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.3,0.6,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
FD060-10-RM,Servo Drives,"<br>The FD060-10-RM is a servo drive and development board assembly for a FE060-10-RM FlexPro® servo drive with IMPACT™ architecture. Connections to the controller, motor, power, and feedback are simplified through the standard connectors featured on the board. The FD060-10-RM is ideal for prototyping and can be used in production and industrial environments as well.",FD060-10-RM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Development Board,FDR,10,20,RS-485/232,Safe Torque Off (STO),114.3 x 91.4 x 26.0,178.5,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,RS-485/232,USB,Standard,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,,10|12|24|36|48
FXM060-10-CM,Servo Drives,"<br>The micro-sized FXM060-10-CM FlexPro® Extended Environment servo drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with CANopen communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FXE060-10-CM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FXM060-10-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FXMC,10,20,CANopen,Safe Torque Off (STO),50.8 x 25.4 x 22.0,34,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Extended,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
FE060-10-RM,Servo Drives,<br>The FE060-10-RM FlexPro® pcb mount servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive features an RS485/232 interface for network communication and is commissioned via a USB interface.,FE060-10-RM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FER,10,20,RS-485/232,Safe Torque Off (STO),38.1 x 25.4 x 11.5,19.8,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,RS-485/232,USB,Standard,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,,10|12|24|36|48
FM060-10-RM,Servo Drives,"<br>The micro-sized FM060-10-RM FlexPro® drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with RS485/232 communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FE060-10-RM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FM060-10-RM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FMR,10,20,RS-485/232,Safe Torque Off (STO),50.8 x 25.4 x 22.0,34,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,RS-485/232,USB,Standard,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,,10|12|24|36|48
AZB12A8,Servo Drives,<br>The AZB12A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZB12A8,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,PCB Mount,AZ_10V_Brushless,6,12,None,,63.5 x 50.8 x 16.8,84.9,±10 V Analog,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.5,0.9,,,,,,,,,,,,,,,,,,,24|36|48|60|72
FXM060-10-EM,Servo Drives,"<br>The micro-sized FXM060-10-EM FlexPro® Extended Environment servo drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with EtherCAT® communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FXE060-10-EM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FXM060-10-EM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FXME,10,20,EtherCAT,Safe Torque Off (STO),50.8 x 25.4 x 26.0,36.9,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Halls|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Extended,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,DescFile-004|,10|12|24|36|48
DZRALTE-012L080,Servo Drives,<br>The DZRALTE-012L080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo driver utilizes RS485 or Modbus RTU communication and is commissioned with DriveWare® via an RS-232 interface.,DZRALTE-012L080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,PCB Mount,DZR,6,12,Modbus RTU|RS-485/232,,63.5 x 50.8 x 18.4,99.8,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,Modbus RTU|RS-485/232,RS-232,Standard,5,,5V TTL,0.5,0.9,,,,,,5,3,,,,1,,,,,,,,24|36|48|60|72
AZBH12A8,Servo Drives,<br>The AZBH12A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBH12A8,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,PCB Mount,AZ_10V_Brushless,6,12,None,,63.5 x 50.8 x 16.8,86,±10 V Analog,Halls|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Hall Velocity|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.5,0.9,,,,,,,,,,,,,,,,,,,24|36|48|60|72
DZXCANTE-015L080,Servo Drives,<br>The DZXCANTE-015L080 DigiFlex® Performance™ extended environment pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems in harsh temperatures or rugged environments. This servo motor drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DZXCANTE-015L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZXC,7.5,15,CANopen,,63.5 x 50.8 x 22.9,105,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Extended,5,,5V TTL,0.6,1.1,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
FXE060-10-EM,Servo Drives,<br>The FXE060-10-EM FlexPro® Extended Environment servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes EtherCAT® communication and is commissioned via a USB interface.,FXE060-10-EM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FXEE,10,20,EtherCAT,Safe Torque Off (STO),38.1 x 25.4 x 16.0,22.7,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Halls|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Extended,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,DescFile-004|,10|12|24|36|48
DZCANTE-012L080,Servo Drives,<br>The DZCANTE-012L080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DZCANTE-012L080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,PCB Mount,DZC,6,12,CANopen,,63.5 x 50.8 x 18.4,99.8,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,5,,5V TTL,0.5,0.9,,,,,,5,3,,,,1,,,,,,,DescFile-001|,24|36|48|60|72
AZBE12A8,Servo Drives,<br>The AZBE12A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBE12A8,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,PCB Mount,AZ_10V_Brushless,6,12,None,,63.5 x 50.8 x 16.8,86,±10 V Analog,Halls|Incremental Encoder|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.5,0.9,,,,,,,,,,,,,,,,,,,24|36|48|60|72
DZXRALTE-015L080,Servo Drives,<br>The DZXRALTE-015L080 DigiFlex® Performance™ extended environment pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems in harsh temperatures or rugged environments. This servo motor drive utilizes RS485 or Modbus RTU communication and is commissioned with DriveWare® via an RS-232 interface.,DZXRALTE-015L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZXR,7.5,15,Modbus RTU|RS-485/232,,63.5 x 50.8 x 22.9,105,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,Modbus RTU|RS-485/232,RS-232,Extended,5,,5V TTL,0.6,1.1,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
AZXB15A8,Servo Drives,"<br>The AZXB15A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXB15A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_10V,7.5,15,None,,63.5 x 50.8 x 22.9,94.5,±10 V Analog,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.6,1.1,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
AZXBE15A8,Servo Drives,"<br>The AZXBE15A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXBE15A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_10V,7.5,15,None,,63.5 x 50.8 x 22.9,94.5,±10 V Analog,Halls|Incremental Encoder|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.6,1.1,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
DZMANTU-020B080,Servo Drives,<br>The DZMANTU-020B080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo driver is exclusively designed to operate with an embedded Click&Move® program and is commissioned with DriveWare® via a USB interface.,DZMANTU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,18 - 80,,Discontinued,DigiFlex Performance,PCB Mount,DZM,10,20,None,Safe Torque Off (STO),88.9 x 63.5 x 20.1,126,±10 V Analog|Encoder Following,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Position|Velocity|Current,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Click&Move,Incremental Encoder,None,,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,5,,,,1,,,,,,,,24|36|48|60|72
DPCANTR-020B080,Servo Drives,<br>The DPCANTR-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DPCANTR-020B080,,Sinusoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,Panel Mount,DPC_Res,10,20,CANopen,,132.5 x 89.5 x 35.9,495,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Resolver|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,4,,,,3,2,,,,,,DescFile-001|,24|36|48|60|72
AZXBH15A8,Servo Drives,"<br>The AZXBH15A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXBH15A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_10V,7.5,15,None,,63.5 x 50.8 x 22.9,94.5,±10 V Analog,Halls|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Hall Velocity|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.6,1.1,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
DPEANIU-020B080,Servo Drives,<br>The DPEANIU-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes EtherCAT® communication and is commissioned with DriveWare® via a USB interface.,DPEANIU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,Panel Mount,DPE_Uni,10,20,EtherCAT,,166.7 x 87.8 x 35.9,496,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Standard,Universal,,24 VDC,0.8,1.5,,,,,,0,,11,7,,2,0,,,,,,DescFile-002|,24|36|48|60|72
DZCANTU-020B080,Servo Drives,<br>The DZCANTU-020B080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via a USB interface.,DZCANTU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,18 - 80,,Reserved,DigiFlex Performance,PCB Mount,DZCU,10,20,CANopen,Safe Torque Off (STO),88.9 x 63.5 x 20.1,124,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,5,,,,1,,,,,,,DescFile-001|,24|36|48|60|72
DZEANTU-020B080,Servo Drives,<br>The DZEANTU-020B080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes EtherCAT® communication and is commissioned with DriveWare® via a USB interface.,DZEANTU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,18 - 80,,Discontinued,DigiFlex Performance,PCB Mount,DZE,10,20,EtherCAT|DxM Technology,Safe Torque Off (STO),88.9 x 63.5 x 20.1,126,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,EtherCAT|DxM Technology,USB,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,5,,,,1,,,,,,,DescFile-002|,24|36|48|60|72
DZCANTS-020L080,Servo Drives,<br>The DZCANTS-020L080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DZCANTS-020L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZC,12,20,CANopen,Safe Torque Off (STO),63.5 x 57.0 x 22.9,105,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|Halls|Incremental Encoder,Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,5,,5V TTL,0.9,1.5,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
DZPANTU-020B080,Servo Drives,"<br>The DZPANTU-020B080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This motor drive utilizes POWERLINK, Modbus TCP, or Ethernet communication and is commissioned with DriveWare® via a USB interface.",DZPANTU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,18 - 80,,Discontinued,DigiFlex Performance,PCB Mount,DZP,10,20,Ethernet POWERLINK|Ethernet|Modbus TCP,Safe Torque Off (STO),88.9 x 63.5 x 20.1,126,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,Ethernet POWERLINK|Ethernet|Modbus TCP,USB,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,5,,,,1,,,,,,,DescFile-003|,24|36|48|60|72
DPPANIU-020B080,Servo Drives,"<br>The DPPANIU-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This motor controller utilizes POWERLINK, Modbus TCP, or Ethernet communication and is commissioned with DriveWare® via a USB interface.",DPPANIU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Discontinued,DigiFlex Performance,Panel Mount,DPP_Uni,10,20,Ethernet POWERLINK|Ethernet|Modbus TCP,,166.7 x 87.8 x 35.9,496,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,Ethernet POWERLINK|Ethernet|Modbus TCP,USB,Standard,Universal,,24 VDC,0.8,1.5,,,,,,0,,11,7,,2,0,,,,,,DescFile-003|,24|36|48|60|72
AZBDC20A8,Servo Drives,<br>The AZBDC20A8 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZBDC20A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZ_PWM_Brushless,12,20,None,,63.5 x 50.8 x 22.9,94.5,PWM and Direction,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.9,1.5,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
DZCANTE-020L080,Servo Drives,<br>The DZCANTE-020L080 DigiFlex® Performance™ pcb mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DZCANTE-020L080,,Sinusoidal|Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,DigiFlex Performance,PCB Mount,DZC,12,20,CANopen,,63.5 x 50.8 x 22.9,105,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,5,,5V TTL,0.9,1.5,,,,,,5,3,,,,1,,,,,,,DescFile-001|,10|12|24|36|48|60|72
DPCANTE-020B080,Servo Drives,<br>The DPCANTE-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DPCANTE-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Active,DigiFlex Performance,Panel Mount,DPC_Enc,10,20,CANopen,,132.5 x 89.5 x 35.9,495,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,4,,,,3,2,,,,,,DescFile-001|,24|36|48|60|72
DPMANIU-020B080,Servo Drives,<br>The DPMANIU-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive is exclusively designed to operate with an embedded Click&Move® program and is commissioned with DriveWare® via a USB interface.,DPMANIU-020B080,,Sinusoidal|Trapezoidal,24|36|48|60|72,20 - 80,,Discontinued,DigiFlex Performance,Panel Mount,DPM_Uni,10,20,None,,166.7 x 87.8 x 35.9,496,±10 V Analog|Encoder Following,±10 VDC Position|1Vp-p Sine/Cosine Encoder|BiSS C-Mode|EnDat® 2.1|EnDat® 2.2|Halls|Hiperface®|Incremental Encoder|Tachometer (±10 VDC),Position|Velocity|Current,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Click&Move,Incremental Encoder,None,USB,Standard,Universal,,24 VDC,0.8,1.5,,,,,,0,,11,7,,2,0,,,,,,,24|36|48|60|72
DPCANTA-020B080,Servo Drives,<br>The DPCANTA-020B080 DigiFlex® Performance™ panel mount servo drive offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen® communication and is commissioned with DriveWare® via an RS-232 interface.,DPCANTA-020B080,,Sinusoidal,24|36|48|60|72,20 - 80,,Discontinued,DigiFlex Performance,Panel Mount,DPC_Abs,10,20,CANopen,,132.5 x 89.5 x 35.9,495,±10 V Analog|Encoder Following|Indexing|Jogging|Over the Network|PWM and Direction|Sequencing,±10 VDC Position|1Vp-p Sine/Cosine Encoder|EnDat® 2.1|Hiperface®|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Drive Library|Motion Engine,Incremental Encoder,CANopen,RS-232,Standard,Universal,,5V TTL,0.8,1.5,,,,,,8,4,,,,3,2,,,,,,DescFile-001|,24|36|48|60|72
